,title,description,source,job-id,ar-chars
32,منظم رحلات سياحية,التعامل مع متطلبات كل رحلة وفهم الاحتياجات التنظيمية وفهم البرامج المجدولة للفعاليات المتنوعة ويجب على منظم الرحلات اجادة مهارات التواصل مع الشخصيات المختلفة والقدرة على تسهيل وتطبيق البرنامج للرحلة بحسب المهام المطلوبة.,bayt,4484030,True
33,اخصائي مشتريات,-,bayt,4478435,True
34,اخصائي عمليات,-,bayt,4478449,True
39,مشرف تحميل وتنزيل سعودي لدى مستودع شركة الاخشاب العالميه,- مطلوب مشرف تحميل وتنزيل للعمل لدى شركة الاخشاب العالمية والإشراف على المستودعات وشحن وتفريغ المواد والمشاركة في إدارة تحميل الشاحنات وإيجاد أفضل طرق التسليمالمهام الوظيفية لمشرف الخدمات اللوجستية:- جدولة عمليات الشحن والتسليم- ضمان شحن البضائع وتسليمها في الوقت المناسب- الإشراف على نقل البضائع من موقع إلى آخر، وترتيب استلامها وتسليمها مع شركات الشحن وفقًا لذلك- تغيير المنتجات المعيبة، والمنتجات التي تم شحنها للعملاء عن طريق الخطأ- التعامل مع جميع متطلبات العميل ودعمها باستخدام جميع المصادر الممكنة- بناء العلاقات مع البائعين وشركات الشحن ومشرفي المستودعات ووسطاء الجمارك ومندوبي المبيعات والعملاء- التأكد من أن جميع الأطراف تعمل معًا لضمان تعبئة الشحنات وإرسالها وتسليمها في الوقت المناسب- التواصل مع شركات النقل المختلفة للحصول على عروض أسعار الشحن واتخاذ قرار بشأن أفضلها من حيث التكلفة والتوافر والموثوقية- دراسة احتياجات العملاء وإدارة المخزون بناء على تلك الاحتياجات- إعادة طلب المنتجات حسب الحاجة للحفاظ على مستويات كافية من المخزون,bayt,4485537,True
47,مهندس مدني,مهندس مدني خبرة 3-7 سنوات في مقاولات المباني.لديه القدرة على عمل المخططات التنفيذية والإشارف على أعمال الموقع والعمالة.,bayt,4485494,True
50,محاسب عام,التدقيق والمراجعة,bayt,4485472,True
60,كاتب محتوى,تحرير وتصحيح المحتوى وتحسينه بشكل دائم. تقديم محتوى جذاب وملهم . خلق محتوى يتناسب لكل قناة سواء مطبوع او منشور او رقمي تحسين المحتوى والتهيئة لمحركات البحث . التعاون مع فريق التصميم والكتابة لإنتاج محتوى ذات جودة عالية . التنوع بالكتابة من مدونات ومقالات والنصوص الترويجية للرسائل الدعائية . الالتزام بالمواعيد والتسليم وفق المواعيد المحددة . الابداع والاهتمام بالكتابة الابداعية . خلق محتوى فريد يعكس اهداف الشركة ويتماشى ضمن رؤيتها . القدرة على ادارة فريق الكتابة وتشكيل المهام لكل منهم .- الكتابة باللغتين العربية والانجليزية,bayt,4485379,True
64,مسؤول سكن,- الاشراف على سكن العاملين بالشركة.- التاكد من أن المقيمين من منسوبي الشركة.- متابعة صيانة المبنى و الإبلاغ عن أي أعطال بالسكن.- الإبلاغ عن أي تغيبات من العاملين أو الإبلاغ عن الحالات المرضية.- مسؤول عن متابعة أعمال نظافة المبنى ومطابقته لمواصفات السلامة والصحة المهنية من حيث توافر شروط الأمن والسلامة.- مسؤول عن الاحتفاظ بسجلات المبنى وتوجيه عمال الصيانة واستلام الأعمال منهم.- مسؤول عن تسليم و استلام غرف و شقق السكن للعاملين الجدد و المستقيلين.- مسؤول عن عمال المبنى و إدارتهم من الناحية الإداري,bayt,4485404,True
77,مندوب مبيعات,مندوبين مبيعات لديهم خبره كافية في مجال الالمنيوم الزجاج والستيل راتب + عمولات حسب المبيعات مكان العمل الدمام + الرياض,bayt,4386380,True
82,مهندس مدني جيوتقني,"مطلوب فوراً من داخل السعودية ""مهندس مدني/جيوتقني"" للعمل بمختبر مواد وفحص تربة و اساسات بجدة",bayt,4481864,True
83,مستشار قانوني,"نرغب في تعين ""مستشار قانوني"":-للجنسين-مدينة الدمام، الرياض-المؤهل القانون أو الشريعة من جامعة معترف بها لدى المملكة-سنوات الخبرة ليست ضرورية لكن المكتب سيفاضل بين المتقدمين-إجادة العمل باللغتين العربية والإنجليزية-خبرة في المجال التجاري",bayt,4473766,True
87,موظف استقبال,متابعة تنفيذ جميع مهام تسجيل الوصول والمغادرة.إدارة ومتابعة الحجوزات عبر الإنترنت والهاتف.إبلاغ العملاء عن طرق الدفع التحقق من بيانات بطاقة الائتمان الخاصة بهم.تسجيل بيانات والمعلومات الضرورية للزوار.استقبال والترحيب الزوار عند وصولهم وتوجيههم الى الغرف.التعاون مع الزوار وتقديم المعلومات عن الفندق والغرف المتاحة والأسعار والمرافق.الرد على شكاوى العملاء في الوقت المناسب وبطريقة مهنية.التواصل مع الأقسام المختلفة داخل الفندق حسب احتياجات الضيوف.تأكيد الحجوزات وترتيب خدمات العملاء.التحديث الدوري والحفاظ على سجلات الحجوزات والمدفوعات,bayt,4439237,True
93,محاسب مستودعات,• إدارة المستودع بما يتوافق مع سياسات الشركة ورؤيتها.• الإشراف على عمليات الاستلام والتخزين والتوزيع والصيانة.• إعداد التخطيط وضمان الاستخدام الفعال لمساحات التخزين.• لديه القدرة على إدارة المخازن والمستودعات الكبيرة والإشراف على طاقم العامل في المستودعات.• إعداد وإكمال الطلبات للتسليم أو الاستلام حسب التالي: (التحميل ، التعبئة ، التغليف ، التسمية ، الشحن).• إستلام ومعالجة مخزون المستودعات (التحميل ، التفريغ ، الفرزوالترقم ، التخزين).• مسؤول عن ضبط معايير السلامة ونظافة المخزن.,bayt,4485292,True
95,مشغل خطوط انتاج,تشغيل خطوط انتاج الية ونصف الية خاصة بي المخبوزات والحلويات وافران وخمارات العجين,bayt,4485274,True
96,مهندس جودة غذائية,تم العمل على خطوط انتاج اوتامتيكية خاصة لي منتجات المخابز لديه الخبرة والكفاءة في تشغيل خط الانتاج في حالة عدم وجود م الانتاج Work has been done on automatic production lines for bakery productsHe has experience and competence in operating the production line in the absence of production m,bayt,4485273,True
99,مهندس معماري,مهندس مواقع معماريمع خبرة في تشطيب العمل• مهندس موقع معماري ذو خبرة في التشطيبات الداخلية (أعمال تشطيب فاخرة) ،• القدرة على عمل جداول الكميات وقراءة الرسومات التنفيذية ،• من ذوي الخبرة في الأعمال الخشبية ، والعمل الجاد.• خبرة في المطاعم والمقاهي والمكاتب.• العمر: من 30 إلى 35 سنة,bayt,4454957,True
100,معلم دهانات,استلام بند دهان الجدران في المشاريع.,bayt,4485234,True
101,اخصائي مشتريات,"· استخدام استراتيجيات مناسبة لشراء احتياجات المؤسسة بأسعار مناسبة.· اكتشاف الموردين وبدء التعاقد وعمل شراكات تجارية وتنظيمية.· وضع اللمسات الأخيرة على تفاصيل شراء الطلبات والتسليم.· فحص واختبار العقود الحالية والتأكد من مواعيد تجديد العقود.· متابعة المتطلبات وتقديم التقارير الخاصة بالمشتريات والمتطلبات.· التعاون مع الإدارات المختلفة لضمان وضوح المتطلبات والميزانيات.· تقديم احتياجات كل قسم من المواد الأولية ووضع الموازنة الملائمة.· البحث الدائم عن موردين جدد للمواد الأولية المستخدمة في التصنيع أو التشغيل.· بناء وتطوير علاقات متينة من الموردين والحفاظ عليها.· الاحتفاظ بملفات طلبات الشراء الداخلية والخارجية, وعروض الأسعار والعقود.· التواصل الدائم مع إدارة المستودعات بشأن نقص المخزون ومدى استيعاب المخازن وحركة معدل دوران المخزون.· إعداد الطلبيات الواردة من الأقسام المختلفة وإرسالها إلى الموردين المعتمدين ومتابعتها حتى استلامها.· متابعة التغيرات التي تظهر على أسعار المواد الخام بشكل دوري.· الاتصال مع الجهة الطالبة للبضاعة والمتابعة المواد المطلوبة في الوقت المناسب والطريقة المناسبة.",bayt,4312914,True
102,مبيعات أدوات صحية,مسؤول مبيعات أدوات صحية بمعرض أثاث متكامل.مسؤول عن متابعة وإدارة عمليات البيع، والشراء من المزودين الخارجيين.,bayt,4485219,True
103,مهندس سلامة,1- مهندس سلامة للعمل بالمواقع الإنشائية ومراقبة سلامة العاملين والتأكد من سلامة الموقع والتزام الموظفين بقواعد الصحة والسلامة المهنية2- العمل في مدينة سكاكا أو القصيم,bayt,4485213,True
104,مدير مشروع,مدير مشروع أو مدير موقع للإشراف على مدرستين بالقصيم (رياض الخبراء و الذيبية).,bayt,4485212,True
107,مستشار قانوني,1- دراسة القضايا والملفات من الناحية القانونية.2- الاشراف على المحامين المتدربين في وضعهم لخطة الاجراءات لكل ملف.3- المحررات القانونية جميعها تدقيق وتنقيح وتحرير وتعديل ودراسة4- حضور الاجتماعات5- تقديم الاستشارات القانونية للعملاء.,bayt,4485152,True
109,أخصائي تسويق online sales,إجراء أبحاث السوق للعثور على إجابات حول متطلبات المستهلك وعاداته واتجاهاتهطرح الأفكار وتطوير الأفكار لحملات التسويق الإبداعيةالمساعدة في أنشطة التسويق الصادرة والداخلية من خلال إظهار الخبرة في مجالات مختلفة (تطوير المحتوى وتحسينه ، والإعلان ، وتخطيط الأحداث ، وما إلى ذلك)الاتصال بالموردين الخارجيين لتنفيذ الأحداث الترويجية والحملاتتعاون مع مهنيي التسويق وغيرهم من المهنيين لتنسيق جهود التوعية بالعلامة التجارية والتسويقتخطيط وتنفيذ المبادرات للوصول إلى الجمهور المستهدف من خلال القنوات المناسبة (وسائل التواصل الاجتماعي ، البريد الإلكتروني ، التلفزيون ، إلخ)ساعد في تحليل بيانات التسويق (نتائج الحملة معدلات التحويل وحركة المرور وما إلى ذلك) للمساعدة في تشكيل استراتيجيات التسويق المستقبليةتنفيذ المهام الفردية لخطة التسويق على النحو المحدد,bayt,4268071,True
118,شيف باستا - pasta chef,السلام عليكممطلوب شيف باستا ايطالية خبرة لاتقل 2 عن سنتين في المطاعم الايطاليةالخبرة في اعداد المنيو و تجهيز المطبخمرن و قابل للتطورالرجاء التواصل عبر الواتس 054-047-9620شكراItalian Pasta Chef wantedAt least 2 years of experience in Italian restaurantsExperience in preparing the menu and preparing the kitchenFlexible and scalablePlease contact by whatsapp054-047-9620Thanks,bayt,4484673,True
130,مندوب مبيعات,1- خبرة بتوزيع المواد الغذائية على البقالات والأسواق.2-خبرة بالتعامل مع البقالات والمني ماركت.3-بناء العلاقات والتواصل الدائم مع العملاء الحاليين والمحتملين.4-الأهتمام بمشاكل العملاء والمساعدة في حلها ونقل الشكاوي والاقتراحات الي إدارة الشركة.,bayt,4484824,True
138,محاسب Accountant,محاسب,bayt,4472540,True
139,مهندس تسويق ومبيعات,مهندس تسويق ومبيعات,bayt,4472536,True
144,فني ثلاجات,الخبرة :خبرة لاتقل عن 5 سنوات في صناعة الثلاجات .,bayt,4341176,True
145,رسام سوليدوورك سعودي,مطلوب مهندس يجي الرسم على السوليدوورك والاتوكاد,bayt,4430786,True
177,مبيعات,عندك خبرة بالمبيعات؟ أو خبرة بالتصاميم؟المساحات كلها لك، شارك العالم ابداعك!نعمل حالياً على توسيع نطاق خدماتنا في مختلف مناطق المملكة ونبحث عن محترفين في مجال تصاميم المطابخ أو في مجال المبيعات (موظف أو مستقل) لتقديم خدماتنا للعملاء في المدن التالية المدينة، الطائف، تبوك، القصيم، الأحساء، و الجبيل، وغيرها من المدن.اذا كانت لديك الخبرة المطلوبة، وموقعك في أحد المدن المذكورة يرجى منك التقديم على الإعلان ومشاركتنا السير الذاتيه,bayt,4469744,True
206,محمص مكسرات,العمل على المكائن الخاصة بالتحميص إدارة عمليات الإنتاج والتحميص فحص المنتجات قبل الإنتاج وبعدة غربلة المنتجات قبل البدء بعملية الإنتاج وزن المنتجات قبل البدء بالتحميص وبعد الانتهاء تحسين ورفع مستوى الإنتاجصيانة دورية للمكائن تقديم تقرير عن عملية الإنتاج والعمليات اليومية,bayt,4484543,True
210,مدير مبيعات,"مطلوب للعمل مدير مبيعات في مجال الاغذية يفضل في مجال ( القهوه , المكسرات , البهارات , البقوليات ) شهاده بكالوريس بحد ادنى وجود خبره لاتقل عن 5 سنين في اداره المبيعات اجاده اللغه الانجليزيه استخدام الكمبيوتر خبره جيده في التسويق الالكتروني استقطاب عملاء جدد وفتح منافذ بيع جديده القدره على اداره فريق العمل ومتابعه ادائه وعمل التقارير اللازمه بشكل دوري وضع خطط تسويقيه لرفع حصه المنتجات في الاسواق",bayt,4484521,True
211,اخصائي علاج طبيعي,خريج من التخصصات الصحية خبرة في نفس المجال لغة انجليزية ممتاز,bayt,4483931,True
213,مدير مصنع اغذية,"مطلوب للعمل , مدير مصنع اغذيه يفضل في مجال ( القهوه , المكسرات) بحد ادنى بكالويس يشترط وجود خبره لاتقل عن 10سنوات في المصانع في نفس المجال لديه القدره على اداره جميع اقسام المصنع والتنسيق بين جميع الاقسام للحصول على افضل النتائج والعمل على تطويرها لديه القدره على تطوير المنتجات ومتابعه الانتاج والارتقاء بالجوده وادخال المنتجات الجديده متابعه المخزون والتخطيط للمواسم المختلفه والطلبات الخاصه والانتاج اليومي متابعه التطورات في نفس المجال ومواكبتها",bayt,4484502,True
214,محاسب تكاليف مطاعم,مطلوب محاسب تكاليف مطاعم لديه خبر لا تقل عن 5 سنوات في مجال محاسبة تكاليف الأغذية بحيث يكون لديه الخبرة الكافية في استخراج التكاليف المباشرة و الغير مباشره لكل صنف و الخبرة في تصميم هندسة قائمة الطعام و معرفة تكاليفها و نقاط القوه لدى كل صنف و نقاط الضعف و معرفة الأصناف الراكدة و الأصناف الغير راكده و كيفية تنشيط هذه الأصناف..,bayt,4454877,True
215,مسؤول مبيعات المتجر الألكتروني,المسؤول عن تنظيم جميع العمليات داخل المتجر وتقسيم المهام والمسؤوليات للموظفين وكذلك الإشراف وتوجيه الموظفين لتحقيق افضل أداء وإعداد ومراقبة ميزانية المتجر وتقليل النفقات مع ضمان التشغيل السلس لعمليات وزيادة نسبة المبيعات وتحتاج الوظيفة الي معرفة جيدة بالتسويق والمبيعات والقدرة على تحفيز فريق العمل.,bayt,4484479,True
217,سكرتير/ة,تنظيم المواعيد الخاصة بالاجتماعات والمقابلاتتنظيم وأرشفة الملفات والمستندات والسجلات الإداريةاستقبال وإجراء المكالمات التليفونية ورسائل البريد الإلكترونياستقبال الضيوف وتنظيم جدول الاجتماعاتتحضير قاعات الاجتماعاتتحضير محضر الاجتماعاتالإشراف العام على كافة الأقسام بالشركةمتابعة حالة تنفيذ أي قرارات صادة من الإدارة.تنفيذ أي مهام أخرى قد يتم إسنادها من قبل الإدارة.تأكيد حجوزات السفر للذهاب والعودةكتابة الخطابات الإدارية لمختلف الجهاتتحضير تقارير المصروفات والوارداتكتابة وتحرير وطباعة النصوص الإداريةكتابة وتسليم التقارير الدوريةتنظيم العمل داخل الشركة وبين الإدارات وبعضها,bayt,4484437,True
